Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_7,Joint_8,Joint_9,Joint_10,Joint_11,Joint_12,Joint_13,Joint_14,Joint_15,Joint_16
-5.0,5.0,-5.0,10.0,-1.1450403,0.9403074,1.1638104,-0.0794618,-5.0,-1.5216224,4.4626136,-0.5917567,-5.0,-5.0,-5.0,1.1337805
-3.0709264,5.0,-5.0,10.0,5.0,-3.9771147,-3.9418693,0.04371476,4.2100067,-5.0,2.2561035,0.58248675,-3.2998228,-5.0,0.23106807,5.0
3.2955203,-1.4696567,-0.51891947,-1.0206786,5.0,-2.9768066,-5.0,4.034142,5.0,5.0,-5.0,0.6962954,5.0,-5.0,2.1861122,1.5578597
0.42725557,-4.4676785,5.0,-2.8748043,5.0,-3.2918658,-2.9978158,5.0,2.8850117,5.0,-5.0,-6.8699436,1.9069726,5.0,5.0,-1.3413556
-2.2133193,-0.41717845,0.76273704,4.4994736,5.0,-5.0,-5.0,-2.3650017,5.0,5.0,-1.4305854,0.29784036,-0.16752756,5.0,5.0,-1.0353336
-5.0,3.9175231,-5.0,10.0,-1.0305724,-3.3963227,2.3375967,3.1216817,-2.9898486,5.0,0.96456885,0.4678503,-5.0,4.479796,-1.0269815,-0.4927561
-5.0,5.0,-5.0,-8.509586,-2.9193206,3.6544504,2.8838408,0.6150433,-1.9302565,-1.5356305,5.0,0.33074996,-5.0,-5.0,-5.0,3.5785708
-5.0,5.0,-5.0,4.724228,5.0,-2.9721656,-1.0966107,-0.19354162,2.6315765,-5.0,4.2531633,0.013449455,-3.3540914,-5.0,-2.2632222,-1.3750522
5.0,-2.4301724,2.3423579,0.032244626,5.0,-5.0,-5.0,-5.0,5.0,5.0,-5.0,-5.6491003,5.0,-5.0,1.3611596,1.316075
1.1436063,-4.887302,4.75972,-0.2543223,5.0,-5.0,-5.0,-4.237751,1.4747357,5.0,-5.0,-8.618338,3.3493452,4.86386,5.0,-0.7620076
-0.22897589,-3.8561473,5.0,0.05325448,5.0,-5.0,-5.0,-5.0,5.0,5.0,-4.0341625,-10.0,-0.35616243,5.0,5.0,-0.50165355
-5.0,3.9304814,-5.0,0.9002638,-1.4110253,-2.5460176,2.5084338,-2.7793605,-3.100174,5.0,1.0389798,-10.0,-4.909844,2.950171,-4.0103297,1.725955
-5.0,3.0350373,-5.0,5.2575126,-0.67939746,0.40966803,1.3190279,1.3523784,-4.2503786,-2.9635756,4.4508595,0.81515115,-5.0,-5.0,-5.0,-0.91701
-3.0365813,4.5799093,-5.0,10.0,5.0,-2.407333,-4.2166066,-0.78733206,0.82874227,-3.6070673,3.6850061,-0.43262243,-2.5439303,-5.0,-1.4287812,1.7062925
3.7157333,-3.5000274,2.5895262,0.40466598,5.0,-3.452855,-5.0,-0.93129957,5.0,5.0,-5.0,-8.311102,5.0,-0.085237026,0.3952558,-0.4767109
1.0080595,-3.9855254,5.0,-0.034505196,5.0,-5.0,-5.0,-5.0,4.0322447,5.0,-4.0610466,-10.0,0.31180966,5.0,4.9940615,-1.1543291
-2.0020328,-0.43281466,0.71677935,0.2823733,5.0,-5.0,-5.0,-5.0,5.0,5.0,-1.1356766,-2.8750577,-2.6952026,5.0,5.0,-0.17906167
-5.0,3.4814787,-5.0,10.0,-5.0,3.1022348,4.3345656,0.12241699,-4.946716,1.5106884,2.6288493,0.5019947,-5.0,-1.0179449,-5.0,2.4913402
-5.0,5.0,-5.0,10.0,0.29617262,0.96912205,1.4463456,2.2333946,-3.9443946,-3.5551941,5.0,-0.12955905,-5.0,-5.0,-3.656059,-3.0874364
2.2463439,0.7134788,1.6867094,2.6705353,5.0,-5.0,-5.0,-5.0,5.0,1.0783465,-3.2705297,0.3931095,5.0,-5.0,1.3009002,0.23234686
0.7448024,-5.0,4.4246206,0.23951456,5.0,0.58159935,-5.0,5.0,5.0,5.0,-5.0,-7.9604216,5.0,2.799118,1.4434304,0.026262209
-2.8677773,-2.8772588,2.7242756,-4.0960402,5.0,-5.0,-5.0,5.0,5.0,5.0,-2.3140051,10.0,-2.7359087,5.0,5.0,-0.81451833
-5.0,4.348766,-5.0,-0.0019889474,-0.47383118,-2.1228366,0.40134358,-0.026614297,-1.00398,5.0,1.1105084,2.0324764,-5.0,4.585865,-1.0960776,0.6185252
-5.0,5.0,-5.0,-4.4368105,-3.5608683,2.2406693,1.8387437,0.48726636,-2.5893402,-0.3735925,3.7998815,-0.6376108,-3.9271698,-5.0,-5.0,-5.0
-1.9755142,5.0,-5.0,-6.614214,5.0,-5.0,-5.0,-3.7561958,4.7073216,-3.581859,0.38943166,1.622348,-0.5682789,-5.0,2.4804447,-1.1538795
3.8583055,-2.6583307,3.5146518,-0.2575465,5.0,-3.2155898,-5.0,-5.0,5.0,5.0,-5.0,10.0,5.0,0.15465021,2.332739,2.6523237
0.08679807,-4.1022882,5.0,-0.6848736,5.0,-5.0,-5.0,-5.0,5.0,5.0,-5.0,-10.0,1.3260429,5.0,5.0,-0.7397951
-3.0018783,0.20497394,1.1798202,3.6519196,5.0,-5.0,-3.9917915,5.0,5.0,5.0,1.4789159,4.4400725,-2.1036725,5.0,5.0,-0.5490669
-5.0,5.0,-5.0,-7.914772,-1.4763231,-0.22964197,1.6781766,0.2555472,-3.5944467,5.0,1.1450715,1.901671,-5.0,3.5313718,-1.30457,-0.5841445
