base_vel_x,base_vel_y,base_vel_z,base_vel_yaw
0.81439245,0.08213036,-0.0062791994,0.016762678
0.77862245,0.08332907,0.0070584323,0.23292728
0.82247424,0.15740675,0.067189105,0.06703436
0.86661613,0.056394298,-0.06660105,0.64219874
0.79252666,0.04244668,-0.036510665,-0.3253124
0.9578454,0.013366409,-0.18039343,-0.20561306
0.78320396,0.0069773346,-0.17454198,0.2934993
0.796933,0.032185767,0.048708014,-0.13438092
0.8020877,0.05475095,0.011045528,0.18319975
0.8167509,0.1214849,0.08648204,0.110232875
0.7808455,0.015569803,-0.3962534,-0.18238543
0.8889906,0.058835942,-0.088023745,0.0721141
1.0262935,0.051791944,-0.3566663,0.21543297
0.86539125,0.041060243,-0.014305171,-0.11445595
0.86103374,0.064217985,0.019929843,-0.10829022
0.76174253,0.11309549,-0.0148892375,0.09886196
0.75522906,0.06536741,-0.0073279226,0.2751039
0.66429204,0.07024165,-0.11181963,-0.35747236
0.7916602,0.025703857,-0.039551884,-0.020499494
0.96232945,-0.030352857,-0.23091865,-0.28169724
0.7944476,0.002623765,-0.02438025,-0.14238943
0.7862905,0.06268549,0.0049425177,0.15721858
0.77646065,0.11767372,0.004043359,0.10845178
0.8017156,0.096749604,0.04244567,0.23253192
0.7272316,-0.022979511,-0.11733255,-0.37288752
0.8838015,-0.040197395,-0.101960875,-0.21470325
0.93695444,-0.06134778,-0.26249024,-0.18777229
0.8056146,0.005775274,-0.047208138,-0.03131426
0.7763327,0.035561167,-0.03640041,0.06488012
0.76016045,0.0627775,0.035846397,0.032146573
0.77781016,0.06913041,0.10887713,-0.03444754
0.8142807,-0.013638921,-0.2586845,0.13055092
0.83010817,-0.018292513,-0.03048779,-0.18651848
0.9638748,-0.04587193,-0.24089842,-0.28629872
0.7471829,0.0036833282,-0.12664844,-0.027921723
0.8334124,0.06433512,-0.030588044,0.1484595
0.7797727,0.10013691,-0.034038752,0.2432462
0.81908774,0.093374245,0.033498995,0.13893558
0.76272607,0.04625701,-0.046353526,-0.107999
0.9474723,-0.004876481,-0.16046083,-0.36749622
0.7593693,-0.027300792,-0.18287085,0.17224531
0.78703904,0.06698597,0.0126854945,0.11519504
0.76811945,0.1087738,-0.03229196,0.0148469675
0.7646404,0.17415994,0.060890134,-0.116831526
0.69843036,0.080344096,-0.1824643,-0.36574835
0.8242201,0.008177314,-0.059545904,-0.06982708
0.9306063,-0.05919825,-0.35854298,-0.23926573
0.76805604,-0.016154943,-0.17766117,0.08797856
0.8020564,0.07267821,-0.0020709622,0.015449302
0.76308197,0.09977322,0.0054357424,0.18624759
0.76580554,0.10779108,0.031088565,0.2346871
0.687743,0.018302677,-0.09627159,-0.4931377
0.7784672,-0.046081614,-0.073708184,-0.021570679
0.8975057,-0.068186834,-0.27117193,-0.3247832
0.75004745,0.02983815,-0.006792863,-0.023755811
0.7919369,0.015845899,0.002509834,0.14259946
0.81579244,0.13028933,0.028220315,0.108516544
0.76852536,0.034752164,-0.3402377,-0.30410826
0.82805324,0.053970303,-0.09420015,0.013314147
0.9688975,-0.010934775,-0.3806707,-0.27499744
0.7580463,-0.013204422,-0.13958974,-0.022920005
0.7638332,0.07864253,0.033160686,0.13697171
0.7545476,0.16360384,0.013434631,-0.09291608
0.71044874,0.13548748,-0.010537017,0.1372346
0.69279116,0.032613166,-0.03840941,-0.22731213
0.87426823,-0.010039839,-0.13511334,-0.1822644
0.79310507,-0.034355573,-0.3490652,0.036153927
0.76889396,0.011990921,0.0018856428,0.014308166
0.78736377,0.12577684,-0.021624515,-0.027217017
0.79691845,0.17122282,-0.015160806,-0.11655419
0.81310356,0.13799085,0.04188108,0.20110302
